track_id,track,album,release_year,artists,popularity,genre,year_range
,Kill The Pain Away,A Paranormal Evening with the Moonflower Society,2022,"Avantasia, Floor Jansen",46,metal,2020-2024
,The Chapeltown Rag,"The End, So Far",2022,Slipknot,55,metal,2020-2024
,Safe And Sound,Prepare For Despair,2023,"Point North, The Ghost Inside",61,metal,2020-2024
,OK,Zeit,2022,Rammstein,53,metal,2020-2024
,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),2023,"Bring Me The Horizon, Lil Uzi Vert, Daryl Palumbo, Glassjaw",55,metal,2020-2024
,MC Thunder II (Dancing Like a Ninja),MMXX - Hypa Hypa Edition,2021,Electric Callboy,52,metal,2020-2024
,Darkbloom,Darkbloom,2022,"We Came As Romans, Brand of Sacrifice",57,metal,2020-2024
,Who are you?,THE DEATH OF PEACE OF MIND,2022,Bad Omens,55,metal,2020-2024
,Blood & Water,Remade In Misery,2022,Memphis May Fire,59,metal,2020-2024
,Lügen,Zeit,2022,Rammstein,53,metal,2020-2024
,sLeepwAlkeR,sLeepwAlkeR,2024,The Pretty Wild,59,metal,2020-2024
,Sinners of the Seven Seas,Wake Up The Wicked (Deluxe Version),2024,Powerwolf,50,metal,2020-2024
,Hardcore,Dark Connection,2021,Beast In Black,50,metal,2020-2024
,Fellows of the Hammer,Warfront,2022,Wind Rose,50,metal,2020-2024
,Inside Out,F8,2020,Five Finger Death Punch,57,metal,2020-2024
,Race to the Sea,The War to End All Wars,2022,Sabaton,54,metal,2020-2024
,GIVE ME BRAIN,GIVE ME BRAIN,2022,HAARPER,64,metal,2020-2024
,Entertain You,Wireless,2023,Within Temptation,50,metal,2020-2024
,"Pain Remains II: After All I've Done, I'll Disappear",Pain Remains,2022,Lorna Shore,58,metal,2020-2024
,Crown of Horns,Invincible Shield (Deluxe Edition),2024,Judas Priest,46,metal,2020-2024
,Usurper,Usurper,2023,"NXCRE, The Villains",60,metal,2020-2024
,DIg It,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,54,metal,2020-2024
,Beast of Gévaudan,Call of the Wild (Deluxe Version),2021,Powerwolf,50,metal,2020-2024
,Is It Really You?,Is It Really You?,2022,"Sleep Token, Loathe",62,metal,2020-2024
,Dead Butterflies,For Those That Wish To Exist,2021,Architects,54,metal,2020-2024
,Don’t Look Away,Don't Look Away,2024,The Plot In You,59,metal,2020-2024
,Ghost Of Me,Make Them Suffer,2024,Make Them Suffer,56,metal,2020-2024
,Sacrilegious,One Assassination Under God - Chapter 1,2024,Marilyn Manson,50,metal,2020-2024
,Screaming,I Let It in and It Took Everything,2020,Loathe,64,metal,2020-2024
,Manic,Manic,2021,Wage War,60,metal,2020-2024
,Born For One Thing,Fortitude,2021,Gojira,52,metal,2020-2024
,Dirty Rotten Bizkit,STILL SUCKS,2021,Limp Bizkit,53,metal,2020-2024
,Nobody,Life Is But a Dream…,2023,Avenged Sevenfold,58,metal,2020-2024
,Nightmare,Fatalism,2023,Polaris,55,metal,2020-2024
,Dreadnought,The War to End All Wars,2022,Sabaton,54,metal,2020-2024
,Powersnake,Emblas Saga,2020,Brothers of Metal,51,metal,2020-2024
,Under the Graveyard,Ordinary Man,2020,Ozzy Osbourne,58,metal,2020-2024
,Cosmic Humility Interlude,Blüdhaven,2024,do not resurrect,60,metal,2020-2024
,Let Me Leave,The Way It Ends,2020,Currents,60,metal,2020-2024
