track,album,release_year,artists,popularity,genre
Don't Bury Our Love,Devil May Care,2022,Tinsley Ellis,34,blues
Midnight Healing,Smooth Blues Music: Whiskey Blues,2024,Chilled Blues,40,blues
Wishing Well,Wishing Well,2024,Rob Tait,26,blues
Junior's Wailing - 21st Century Version,Wailing Again,2022,Steamhammer,35,blues
Make Me Feel Alright,Sharecropper's Son,2021,Robert Finley,31,blues
Smoke and Mirrors,Smoke and Mirrors,2022,Eva Carboni,33,blues
Headphones,Headphones,2024,Tanner Boyle,31,blues
Morning blues,Morning blues,2024,Lastri ndagel,35,blues
Long Gone,Long Gone,2022,Small-Town Strip Club,41,blues
Crossroads,Crossroads,2024,"The Imaginaries, Joe Bonamassa",37,blues
Hide Nor Hair,True Genius,2021,Ray Charles,36,blues
The Pleasure's All Mine,"The Pleasure's All Mine: The Complete Blues, Ballads and Favorites Sessions",2020,Jimmie Vaughan,34,blues
Son of a Broken Man,Son of a Broken Man,2024,Fantastic Negrito,28,blues
All Gone Wrong,Ain't Done Yet,2020,Savoy Brown,29,blues
Keepin On,Keepin On,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",39,blues
Heaven Help Me,Old Habits,2022,The Deadbeat Cousins,39,blues
Long Time Ago,Long Time Ago,2024,Dimitris Loizos,35,blues
Don't Lie,Late Night Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",39,blues
(I Can't Get No) Satisfaction - Alternate Version,(I Can't Get No) Satisfaction [Alternate Version],2020,"Jerry Lee Lewis, Rory Gallagher",30,blues
Black Mud,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,34,blues
Steal Your Heart,The Karma Effect,2022,The Karma Effect,35,blues
Round Here,Round Here,2024,Blackwater Bayou,37,blues
Heartbreak Hotel,Heartbreak Hotel,2021,Karen Souza,23,blues
Sweet Feeling,Shadow,2024,Lizz Wright,32,blues
Your Love's Like Heroin,Ice Cream In Hell,2020,Tinsley Ellis,35,blues
Fever Tree,Ohio Players,2024,The Black Keys,36,blues
Eyes Wide Open,Rebel,2024,Rob Tognoni,34,blues
Heal Me,Heal Me,2024,Argyle,39,blues
Gone For Good,Arcadia,2021,The Buttshakers,30,blues
Lovin' on Ya,A Place to Stay,2023,Ivan Hartle,35,blues
The Rain,Same Moon,2023,The Alex Lucero Band,36,blues
Spin Me Round,Spin Me Round,2022,"Augie Bello, Casey Abrams",41,blues
Long Distance Woman,662,2021,"Christone ""Kingfish"" Ingram",38,blues
Best Of Times,Best Of Times,2023,Kenny Wayne Shepherd,37,blues
Faster,Faster,2021,Samantha Fish,34,blues
Dancing Girl,Stomping Ground,2021,"Dion, Mark Knopfler",32,blues
This Man,That's What I Heard,2020,Robert Cray,37,blues
